Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
ORD-100000,18-11-2023,21-11-2023,Customer 126,Home Office,North,Technology,Phones,Samsung Galaxy,414.46,6,0.2,56.48
ORD-100001,12-08-2022,16-08-2022,Customer 691,Corporate,West,Furniture,Bookcases,Wall Shelf,920.09,6,0.3,45.5
ORD-100002,31-07-2023,03-08-2023,Customer 208,Corporate,North,Office Supplies,Paper,A4 Paper,1947.81,2,0.3,313.15
ORD-100003,11-08-2023,13-08-2023,Customer 875,Consumer,West,Office Supplies,Binders,3-ring Binder,293.23,8,0.1,63.04
ORD-100004,29-03-2023,31-03-2023,Customer 867,Corporate,East,Office Supplies,Paper,A4 Paper,1469.5,6,0.1,313.07
ORD-100005,18-07-2022,22-07-2022,Customer 531,Consumer,East,Office Supplies,Storage,Storage Box,1873.21,2,0.1,398.34
ORD-100006,06-03-2022,08-03-2022,Customer 901,Home Office,East,Furniture,Bookcases,Wall Shelf,1678.65,5,0.2,188.63
ORD-100007,01-07-2023,06-07-2023,Customer 490,Corporate,North,Office Supplies,Binders,2-inch Binder,1179.89,3,0.2,56.45
ORD-100008,03-09-2022,06-09-2022,Customer 385,Consumer,East,Furniture,Bookcases,Wall Shelf,1488.81,2,0.2,182.44
ORD-100009,21-01-2022,23-01-2022,Customer 349,Consumer,North,Furniture,Bookcases,Tall Bookcase,215.45,10,0.2,32.95
ORD-100010,10-10-2022,13-10-2022,Customer 860,Consumer,South,Office Supplies,Paper,Legal Pad,599.08,7,0,65.98
ORD-100011,20-03-2022,24-03-2022,Customer 584,Corporate,South,Technology,Accessories,Keyboard,1244.09,3,0.3,78.07
ORD-100012,31-05-2022,01-06-2022,Customer 522,Corporate,South,Furniture,Bookcases,Tall Bookcase,154.49,3,0,27.53
ORD-100013,21-03-2022,25-03-2022,Customer 56,Consumer,South,Furniture,Bookcases,Tall Bookcase,857.48,2,0.1,71.52
ORD-100014,07-11-2023,11-11-2023,Customer 770,Consumer,West,Technology,Accessories,Wireless Mouse,95.55,5,0.1,17.5
ORD-100015,03-11-2022,08-11-2022,Customer 572,Consumer,East,Office Supplies,Binders,2-inch Binder,379.72,5,0.1,75.66
ORD-100016,22-02-2023,27-02-2023,Customer 663,Corporate,North,Office Supplies,Binders,2-inch Binder,1032.89,3,0.2,190.2
ORD-100017,26-03-2023,31-03-2023,Customer 295,Home Office,South,Technology,Accessories,Keyboard,1783.58,10,0.3,122.49
ORD-100018,04-10-2023,08-10-2023,Customer 823,Home Office,North,Office Supplies,Binders,2-inch Binder,959.61,8,0.2,126.07
ORD-100019,14-07-2022,18-07-2022,Customer 558,Corporate,North,Furniture,Bookcases,Tall Bookcase,1148.96,10,0.3,81.55
ORD-100020,06-04-2023,08-04-2023,Customer 660,Consumer,East,Technology,Phones,iPhone 14,777.34,6,0.2,52.57
ORD-100021,23-06-2022,26-06-2022,Customer 278,Consumer,North,Furniture,Bookcases,Wall Shelf,1388.81,4,0.1,215.46
ORD-100022,18-12-2022,21-12-2022,Customer 270,Home Office,North,Furniture,Bookcases,Wall Shelf,1854.67,8,0.1,194.18
ORD-100023,17-10-2022,22-10-2022,Customer 962,Home Office,East,Office Supplies,Storage,File Cabinet,1511.1,7,0.3,281.2
ORD-100024,23-02-2023,25-02-2023,Customer 44,Home Office,South,Technology,Copiers,Canon All-in-One,1336.95,7,0,145.57
ORD-100025,23-03-2023,25-03-2023,Customer 937,Home Office,North,Furniture,Chairs,ErgoChair Pro,333.46,6,0.1,68.02
ORD-100026,30-01-2022,01-02-2022,Customer 873,Home Office,South,Office Supplies,Paper,Legal Pad,1836.24,5,0.1,392.92
ORD-100027,29-01-2022,01-02-2022,Customer 953,Consumer,South,Furniture,Bookcases,Wall Shelf,259.38,9,0,37.4
ORD-100028,26-09-2022,30-09-2022,Customer 132,Home Office,North,Office Supplies,Binders,2-inch Binder,1048.29,1,0.3,93.91
ORD-100029,20-02-2023,25-02-2023,Customer 185,Corporate,North,Office Supplies,Paper,Legal Pad,882.26,6,0.1,148.8
ORD-100030,12-11-2022,14-11-2022,Customer 554,Home Office,East,Technology,Accessories,Wireless Mouse,1730.87,10,0.2,257.74
ORD-100031,30-12-2023,03-01-2024,Customer 57,Consumer,West,Furniture,Bookcases,Tall Bookcase,1328.47,3,0.1,151.94
ORD-100032,15-09-2023,18-09-2023,Customer 644,Home Office,North,Office Supplies,Binders,2-inch Binder,829.27,6,0,201.4
ORD-100033,16-07-2023,21-07-2023,Customer 203,Consumer,West,Technology,Accessories,Wireless Mouse,327.74,8,0.2,23.51
ORD-100034,12-04-2022,14-04-2022,Customer 728,Home Office,West,Office Supplies,Storage,Storage Box,1848.79,1,0,278.22
ORD-100035,15-02-2022,19-02-2022,Customer 143,Consumer,South,Office Supplies,Binders,2-inch Binder,1017.98,9,0.2,176.22
ORD-100036,04-11-2022,06-11-2022,Customer 991,Corporate,North,Office Supplies,Paper,A4 Paper,479.24,1,0.2,92.9
ORD-100037,22-11-2022,23-11-2022,Customer 31,Corporate,East,Office Supplies,Storage,File Cabinet,950.82,2,0.2,129.91
ORD-100038,29-05-2023,30-05-2023,Customer 550,Consumer,East,Furniture,Tables,Conference Table,663.92,3,0.3,62
ORD-100039,25-09-2023,29-09-2023,Customer 960,Consumer,West,Office Supplies,Binders,2-inch Binder,540.03,9,0.3,34.83
ORD-100040,29-06-2023,01-07-2023,Customer 966,Corporate,West,Technology,Copiers,Canon All-in-One,1811.94,3,0.2,365.28
ORD-100041,02-06-2022,06-06-2022,Customer 184,Corporate,West,Furniture,Chairs,Classic Desk Chair,903.85,9,0,260.56
ORD-100042,15-01-2022,16-01-2022,Customer 706,Corporate,South,Office Supplies,Binders,2-inch Binder,187.86,7,0.3,34.68
ORD-100043,12-10-2022,16-10-2022,Customer 75,Consumer,South,Technology,Accessories,Wireless Mouse,1390.93,1,0.1,160.3
ORD-100044,30-12-2022,03-01-2023,Customer 77,Home Office,West,Technology,Copiers,Canon All-in-One,1637.9,2,0.2,314.2
ORD-100045,10-02-2022,15-02-2022,Customer 226,Consumer,South,Furniture,Tables,Conference Table,910.29,1,0,234.34
ORD-100046,05-12-2022,08-12-2022,Customer 867,Home Office,South,Office Supplies,Storage,Storage Box,1675.23,1,0.2,254.48
ORD-100047,01-10-2023,06-10-2023,Customer 759,Corporate,East,Office Supplies,Paper,Legal Pad,1403.76,1,0,357.63
ORD-100048,28-10-2022,02-11-2022,Customer 981,Home Office,East,Technology,Copiers,Canon All-in-One,169.73,10,0.3,34.03
ORD-100049,14-04-2022,15-04-2022,Customer 526,Consumer,South,Office Supplies,Storage,File Cabinet,1548.88,4,0.3,183.62
ORD-100050,17-09-2023,21-09-2023,Customer 572,Consumer,North,Furniture,Bookcases,Tall Bookcase,381.82,10,0.1,66.47
ORD-100051,26-06-2022,01-07-2022,Customer 357,Home Office,West,Technology,Copiers,Canon All-in-One,496.6,3,0,118.18
ORD-100052,15-09-2023,20-09-2023,Customer 283,Consumer,East,Technology,Copiers,HP Copier,72.32,2,0.1,16.9
ORD-100053,11-06-2022,15-06-2022,Customer 129,Consumer,West,Office Supplies,Storage,File Cabinet,222.49,8,0,43.59
ORD-100054,25-12-2022,27-12-2022,Customer 553,Home Office,North,Technology,Copiers,HP Copier,47.83,1,0.2,7.83
ORD-100055,16-06-2023,20-06-2023,Customer 308,Home Office,East,Office Supplies,Paper,Legal Pad,1920.85,9,0.3,375.32
ORD-100056,12-04-2022,14-04-2022,Customer 244,Home Office,North,Technology,Phones,Samsung Galaxy,1479.46,6,0.1,277.49
ORD-100057,12-01-2022,17-01-2022,Customer 905,Home Office,South,Technology,Copiers,HP Copier,1375.83,3,0,269.54
ORD-100058,18-09-2022,23-09-2022,Customer 104,Home Office,West,Technology,Phones,Samsung Galaxy,923.02,4,0.1,170.23
ORD-100059,15-02-2023,16-02-2023,Customer 469,Corporate,South,Furniture,Chairs,ErgoChair Pro,455.93,5,0.1,52.27
ORD-100060,15-07-2023,19-07-2023,Customer 800,Corporate,South,Office Supplies,Storage,File Cabinet,1565.25,6,0.3,276.63
ORD-100061,16-03-2023,20-03-2023,Customer 817,Corporate,South,Office Supplies,Storage,File Cabinet,1371.99,10,0.1,113.66
ORD-100062,30-07-2022,03-08-2022,Customer 870,Consumer,West,Technology,Copiers,HP Copier,1624.52,7,0.1,110.27
ORD-100063,22-03-2022,27-03-2022,Customer 990,Consumer,North,Furniture,Tables,Wooden Desk,719.54,8,0.2,96.16
ORD-100064,27-04-2023,02-05-2023,Customer 682,Consumer,East,Office Supplies,Storage,File Cabinet,1707.58,6,0.1,321.75
ORD-100065,23-03-2022,26-03-2022,Customer 175,Corporate,West,Furniture,Bookcases,Tall Bookcase,1853.09,1,0.2,78.37
ORD-100066,08-12-2023,09-12-2023,Customer 566,Consumer,West,Technology,Copiers,HP Copier,1200.84,9,0.2,139.76
ORD-100067,06-01-2023,08-01-2023,Customer 914,Consumer,South,Technology,Accessories,Wireless Mouse,1305.42,6,0.1,312.65
ORD-100068,03-11-2022,04-11-2022,Customer 460,Home Office,South,Furniture,Tables,Wooden Desk,115.88,9,0.3,9.83
ORD-100069,11-09-2023,16-09-2023,Customer 152,Home Office,North,Office Supplies,Storage,Storage Box,1826.87,1,0.1,426.05
ORD-100070,27-08-2022,30-08-2022,Customer 706,Consumer,East,Office Supplies,Storage,File Cabinet,1442.7,8,0.1,267.6
ORD-100071,30-05-2022,04-06-2022,Customer 817,Corporate,South,Technology,Accessories,Wireless Mouse,759.08,2,0,61.31
ORD-100072,07-05-2022,11-05-2022,Customer 460,Home Office,South,Office Supplies,Storage,Storage Box,796.2,9,0.3,95.76
ORD-100073,17-03-2022,18-03-2022,Customer 470,Home Office,East,Technology,Accessories,Wireless Mouse,1133.48,1,0,174.5
ORD-100074,24-02-2022,01-03-2022,Customer 148,Home Office,West,Office Supplies,Storage,Storage Box,479.66,10,0.3,45.99
ORD-100075,11-12-2022,15-12-2022,Customer 407,Home Office,South,Office Supplies,Paper,Legal Pad,448.04,10,0.1,66.41
ORD-100076,06-04-2023,10-04-2023,Customer 952,Corporate,North,Technology,Accessories,Wireless Mouse,1846.84,3,0.2,370.94
ORD-100077,15-05-2022,16-05-2022,Customer 28,Home Office,East,Technology,Phones,iPhone 14,1304.23,1,0,304.32
ORD-100078,17-05-2023,19-05-2023,Customer 9,Consumer,South,Office Supplies,Binders,2-inch Binder,1730.85,3,0.1,380.18
ORD-100079,16-10-2022,17-10-2022,Customer 752,Consumer,East,Office Supplies,Storage,Storage Box,617.29,5,0.1,32.59
ORD-100080,23-08-2023,26-08-2023,Customer 22,Consumer,West,Furniture,Chairs,Classic Desk Chair,1089.92,5,0.1,122.97
ORD-100081,01-11-2022,03-11-2022,Customer 822,Consumer,East,Office Supplies,Binders,3-ring Binder,624.74,7,0.1,71.68
ORD-100082,23-11-2023,25-11-2023,Customer 418,Home Office,North,Office Supplies,Storage,Storage Box,1020.42,1,0.1,196.68
ORD-100083,23-10-2023,26-10-2023,Customer 303,Consumer,East,Furniture,Tables,Conference Table,1594.14,9,0.2,304.74
ORD-100084,10-08-2022,14-08-2022,Customer 423,Consumer,West,Furniture,Chairs,ErgoChair Pro,754.74,10,0,183.53
ORD-100085,03-04-2022,06-04-2022,Customer 162,Corporate,North,Technology,Copiers,HP Copier,1377.58,5,0.1,270.69
ORD-100086,24-02-2022,28-02-2022,Customer 653,Home Office,North,Office Supplies,Binders,3-ring Binder,1655.36,6,0.3,320.49
ORD-100087,07-03-2023,12-03-2023,Customer 540,Consumer,North,Furniture,Bookcases,Tall Bookcase,253.99,5,0.3,35.53
ORD-100088,13-03-2022,17-03-2022,Customer 969,Consumer,North,Office Supplies,Paper,A4 Paper,274.51,8,0,38.16
ORD-100089,28-03-2022,30-03-2022,Customer 825,Consumer,North,Technology,Accessories,Wireless Mouse,1496.42,1,0.2,175.57
ORD-100090,13-03-2023,14-03-2023,Customer 226,Home Office,North,Technology,Copiers,Canon All-in-One,1085.81,6,0,286.63
ORD-100091,23-03-2023,26-03-2023,Customer 829,Home Office,West,Technology,Phones,Samsung Galaxy,635.84,7,0.1,130.66
ORD-100092,27-09-2023,28-09-2023,Customer 541,Consumer,South,Office Supplies,Storage,Storage Box,879.89,9,0.1,210.82
ORD-100093,18-05-2023,19-05-2023,Customer 819,Home Office,South,Technology,Copiers,HP Copier,489.24,2,0,104.62
ORD-100094,27-07-2022,29-07-2022,Customer 47,Home Office,East,Furniture,Tables,Conference Table,467.61,5,0,66.93
ORD-100095,11-09-2022,14-09-2022,Customer 244,Corporate,East,Office Supplies,Paper,Legal Pad,1265.17,3,0.2,279.58
ORD-100096,29-01-2023,31-01-2023,Customer 1,Corporate,South,Technology,Accessories,Wireless Mouse,628.9,5,0.2,36.86
ORD-100097,08-01-2022,10-01-2022,Customer 269,Home Office,North,Technology,Accessories,Keyboard,468.41,8,0.2,91.33
ORD-100098,25-11-2022,28-11-2022,Customer 534,Home Office,West,Technology,Accessories,Keyboard,710.27,3,0.3,57.31
ORD-100099,24-06-2022,29-06-2022,Customer 52,Home Office,East,Furniture,Bookcases,Tall Bookcase,1579.96,6,0.3,129.01
ORD-100100,22-04-2023,27-04-2023,Customer 256,Corporate,South,Furniture,Bookcases,Tall Bookcase,1533.76,7,0.2,98.16
ORD-100101,25-05-2023,29-05-2023,Customer 312,Home Office,West,Technology,Copiers,Canon All-in-One,92.91,5,0.1,11.8
ORD-100102,02-02-2023,07-02-2023,Customer 570,Corporate,North,Furniture,Chairs,ErgoChair Pro,72.21,8,0,6.86
ORD-100103,27-05-2022,30-05-2022,Customer 598,Home Office,South,Furniture,Bookcases,Tall Bookcase,635.39,6,0.3,46.02
ORD-100104,21-10-2022,26-10-2022,Customer 304,Home Office,North,Office Supplies,Storage,Storage Box,299.17,2,0.3,21.58
ORD-100105,29-10-2023,31-10-2023,Customer 99,Home Office,South,Technology,Phones,Samsung Galaxy,1506.76,4,0,384.88
ORD-100106,13-12-2023,15-12-2023,Customer 348,Consumer,South,Office Supplies,Binders,3-ring Binder,418.25,10,0.3,36.6
ORD-100107,21-10-2022,22-10-2022,Customer 640,Home Office,East,Office Supplies,Binders,2-inch Binder,660.99,3,0,89.88
ORD-100108,24-07-2023,28-07-2023,Customer 897,Consumer,East,Technology,Accessories,Wireless Mouse,786.19,1,0,148.7
ORD-100109,26-12-2022,31-12-2022,Customer 629,Corporate,East,Furniture,Bookcases,Wall Shelf,904.94,8,0.3,40.78
ORD-100110,10-03-2022,15-03-2022,Customer 668,Home Office,East,Technology,Copiers,Canon All-in-One,1262.24,7,0.3,149.99
ORD-100111,01-09-2022,02-09-2022,Customer 700,Home Office,South,Technology,Copiers,Canon All-in-One,1996.96,10,0,383.99
